ingredient	version	count
citrus	The Cocktail DB	1.25
triplesec	The Cocktail DB	0.25
limejuice	The Cocktail DB	0.25
cran	The Cocktail DB	2
citrus	Mixology Recipes	1.5
triplesec	Mixology Recipes	1
limejuice	Mixology Recipes	0.5
cran	Mixology Recipes	0.042
citrus	Awesome Drinks	1.5
triplesec	Awesome Drinks	1
limejuice	Awesome Drinks	0.5
cran	Awesome Drinks	0.25
citrus	Intl. Bartenders Association	1.35
triplesec	Intl. Bartenders Association	0.5
limejuice	Intl. Bartenders Association	0.5
cran	Intl. Bartenders Association	1
citrus	Kindred Cocktails	1.5
triplesec	Kindred Cocktails	1
limejuice	Kindred Cocktails	0.5
cran	Kindred Cocktails	1
