ingredient	version	count
lightrum	The Cocktail DB	1
osyrup	The Cocktail DB	0.5
tsec	The Cocktail DB	0.5
sas	The Cocktail DB	1.5
darkrum	The Cocktail DB	0
limejuice	The Cocktail DB	0
ocuracao	The Cocktail DB	0
gren	The Cocktail DB	0
falernum	The Cocktail DB	0
ssyrup	The Cocktail DB	0
lightrum	Mixology Recipes	1
osyrup	Mixology Recipes	0.5
tsec	Mixology Recipes	0
sas	Mixology Recipes	0
darkrum	Mixology Recipes	1
limejuice	Mixology Recipes	1.5
ocuracao	Mixology Recipes	0.5
gren	Mixology Recipes	0.25
falernum	Mixology Recipes	0.25
ssyrup	Mixology Recipes	0
lightrum	Awesome Drinks	1
osyrup	Awesome Drinks	0.25
tsec	Awesome Drinks	0
sas	Awesome Drinks	0
darkrum	Awesome Drinks	1
limejuice	Awesome Drinks	1
ocuracao	Awesome Drinks	0.5
gren	Awesome Drinks	0
falernum	Awesome Drinks	0
ssyrup	Awesome Drinks	0.25
lightrum	Intl. Bartenders Association	1
osyrup	Intl. Bartenders Association	0.5
tsec	Intl. Bartenders Association	0
sas	Intl. Bartenders Association	0
darkrum	Intl. Bartenders Association	1
limejuice	Intl. Bartenders Association	1
ocuracao	Intl. Bartenders Association	0.5
gren	Intl. Bartenders Association	0
falernum	Intl. Bartenders Association	0
ssyrup	Intl. Bartenders Association	0.25
lightrum	Kindred Cocktails	1
osyrup	Kindred Cocktails	0.25
tsec	Kindred Cocktails	0.5
sas	Kindred Cocktails	0
darkrum	Kindred Cocktails	1
limejuice	Kindred Cocktails	0.75
ocuracao	Kindred Cocktails	0.5
gren	Kindred Cocktails	0
falernum	Kindred Cocktails	0
ssyrup	Kindred Cocktails	0.25
